count,year,count_m,count_f,score_m,score_f,prop_f,diff_mf,diff_fm
27,1103,19,8,22.76142836842105,23.41819688,0.2962962962962963,-0.656768507,0.656768507
15,1104,12,3,22.028887083333334,21.293953000000002,0.2,0.7349340833333322,-0.734934083
40,1105,34,6,21.765568794117648,20.352431866666667,0.15,1.4131369274509815,-1.413136927
19,1106,17,2,22.532383882352942,22.187297,0.10526315789473684,0.34508688235294116,-0.345086882
18,1107,18,,21.28801411111111,,,,
15,1108,14,1,21.597857214285714,18.458717,0.066666667,3.139140214285714,-3.139140214
12,1109,10,2,22.7689735,21.781295,0.16666666666666666,0.9876785000000012,-0.9876785
90,1110,81,9,21.123656827160495,21.08248777777778,0.1,0.041169049382716594,-0.041169049
9,1111,7,2,21.267741714285712,20.699416999999997,0.2222222222222222,0.5683247142857155,-0.568324714
12,1112,7,5,20.946889857142857,21.216527,0.4166666666666667,-0.269637143,0.26963714285714246
15,1113,15,,22.410970799999998,,,,
18,1114,15,3,22.79238086666667,22.634786666666667,0.16666666666666666,0.1575942000000019,-0.1575942
51,1115,45,6,20.440305044444443,18.11680683333333,0.11764705882352941,2.3234982111111115,-2.323498211
15,1116,12,3,21.580786333333332,23.098701333333334,0.2,-1.517915,1.5179150000000021
16,1117,15,1,20.2683794,22.71887,0.0625,-2.4504906,2.4504905999999984
25,1118,19,6,23.27879905263158,18.410937,0.24,4.867862053,-4.867862053
16,1119,14,2,22.83744157142857,22.2049685,0.125,0.6324730714285707,-0.632473071
73,1120,63,10,19.91673812698413,20.3512335,0.136986301,-0.434495373,0.4344953730158707
12,1121,10,2,20.3036289,19.6839275,0.16666666666666666,0.6197014000000003,-0.6197014
19,1122,16,3,21.44203331,24.699451666666665,0.15789473684210525,-3.257418354,3.2574183541666635
20,1123,17,3,21.369709411764706,18.897031333333334,0.15,2.4726780784313718,-2.472678078
16,1124,16,,20.43150725,,,,
56,1125,48,8,20.803117458333332,22.812573875000002,0.14285714285714285,-2.009456417,2.0094564166666693
18,1126,15,3,22.954296199999998,22.395132,0.16666666666666666,0.5591641999999979,-0.5591642
17,1127,14,3,23.18889607142857,22.884749333333332,0.17647058823529413,0.3041467380952376,-0.304146738
22,1128,20,2,21.313364049999997,21.574369500000003,0.090909091,-0.26100545,0.2610054500000061
11,1129,10,1,21.957909,25.921318,0.090909091,-3.963409,3.9634089999999986
113,1130,100,13,21.0307143,21.097830846153844,0.11504424778761062,-0.067116546,0.067116546
12,1131,10,2,21.072589400000002,21.3364705,0.16666666666666666,-0.2638811,0.2638811
18,1132,17,1,21.889583588235297,16.534765,0.055555556,5.354818588235297,-5.354818588
23,1133,17,6,22.99886111764706,20.412023833333333,0.2608695652173913,2.5868372843137273,-2.586837284
20,1134,17,3,22.883396,20.248439666666666,0.15,2.634956333333335,-2.634956333
50,1135,44,6,21.761548704545454,20.868765666666665,0.12,0.8927830378787895,-0.892783038
19,1136,12,7,22.327787583333333,22.749086857142856,0.3684210526315789,-0.421299274,0.4212992738095238
17,1137,14,3,20.620274285714284,23.962033,0.17647058823529413,-3.341758714,3.3417587142857172
25,1138,24,1,21.22795225,24.031498,0.04,-2.80354575,2.803545749999998
15,1139,14,1,22.686715785714284,19.951187,0.066666667,2.7355287857142834,-2.735528786
102,1140,88,14,19.92436934090909,20.384169571428572,0.13725490196078433,-0.459800231,0.4598002305194804
16,1141,13,3,23.794713769230768,22.807424333333334,0.1875,0.9872894358974342,-0.987289436
21,1142,19,2,22.58351889473684,22.236511,0.095238095,0.3470078947368407,-0.347007895
21,1143,18,3,20.848053,23.840875666666665,0.14285714285714285,-2.992822667,2.9928226666666653
13,1144,11,2,21.44591890909091,21.973922,0.15384615384615385,-0.528003091,0.5280030909090918
47,1145,36,11,21.115881083333335,23.287451,0.23404255319148937,-2.171569917,2.171569916666666
13,1146,11,2,23.62744572727273,21.7232065,0.15384615384615385,1.904239227272729,-1.904239227
21,1147,19,2,22.563190157894734,17.7608195,0.095238095,4.802370657894734,-4.802370658
19,1148,16,3,20.49417213,18.360375,0.15789473684210525,2.1337971249999974,-2.133797125
18,1149,14,4,21.911579928571427,21.601834,0.2222222222222222,0.30974592857142724,-0.309745929
135,1150,121,14,20.26906495867769,19.90233292857143,0.1037037037037037,0.36673203010625954,-0.36673203
20,1151,16,4,20.67632769,23.11267175,0.2,-2.436344063,2.4363440625000017
28,1152,20,8,21.03945675,20.24045538,0.2857142857142857,0.7990013749999996,-0.799001375
20,1153,18,2,21.28134216666667,24.563826499999998,0.1,-3.282484333,3.282484333333329
23,1154,19,4,21.807760157894737,26.73576925,0.17391304347826086,-4.928009092,4.928009092105263
65,1155,56,9,20.97169413,21.539650555555554,0.13846153846153847,-0.567956431,0.5679564305555544
13,1156,9,4,21.24448577777778,24.49231025,0.3076923076923077,-3.247824472,3.247824472
20,1157,17,3,21.827111,21.590055666666668,0.15,0.2370553333333305,-0.237055333
27,1158,22,5,22.197874136363637,21.8240678,0.18518518518518517,0.3738063363636357,-0.373806336
9,1159,8,1,21.023048375000002,14.916351,0.1111111111111111,6.106697375000001,-6.106697375
111,1160,99,12,21.337212272727275,23.12381483333333,0.10810810810810811,-1.786602561,1.786602560606056
15,1161,12,3,22.679717,26.46594933333333,0.2,-3.786232333,3.7862323333333308
25,1162,22,3,23.55189845454545,21.641409999999997,0.12,1.9104884545454546,-1.910488455
22,1163,20,2,22.21257395,21.243147,0.090909091,0.96942695,-0.96942695
23,1164,20,3,19.89837245,21.932874333333334,0.13043478260869565,-2.034501883,2.034501883333334
66,1165,53,13,21.96156241509434,21.15160069230769,0.19696969696969696,0.8099617227866496,-0.809961723
35,1166,32,3,21.31849806,21.352487333333332,0.085714286,-0.033989271,0.033989271
13,1167,13,,19.85859476923077,,,,
14,1168,14,,22.11825507142857,,,,
15,1169,15,,23.1113514,,,,
123,1170,109,14,20.336249119266057,20.531551928571428,0.11382113821138211,-0.195302809,0.19530280930537103
14,1171,11,3,21.332939636363637,23.8116,0.21428571428571427,-2.478660364,2.4786603636363616
19,1172,16,3,23.51504263,23.93578666666667,0.15789473684210525,-0.420744042,0.42074404166666923
33,1173,27,6,22.495871962962966,21.6356715,0.18181818181818182,0.8602004629629647,-0.860200463
21,1174,17,4,21.313380176470588,27.004758250000002,0.19047619047619047,-5.691378074,5.691378073529414
71,1175,64,7,19.98519223,22.48932857142857,0.098591549,-2.504136337,2.504136337
21,1176,16,5,20.50828575,19.4726512,0.23809523809523808,1.0356345499999975,-1.03563455
31,1177,25,6,22.29072508,20.752285333333333,0.1935483870967742,1.5384397466666684,-1.538439747
30,1178,25,5,21.99316216,21.158979199999997,0.16666666666666666,0.8341829600000032,-0.83418296
18,1179,16,2,21.10131319,23.7783005,0.1111111111111111,-2.676987312,2.6769873124999997
121,1180,106,15,20.243041188679246,21.170132266666666,0.12396694214876033,-0.927091078,0.927091078
15,1181,12,3,22.306559833333335,21.232385666666666,0.2,1.074174166666669,-1.074174167
36,1182,23,13,22.603514608695654,21.119482538461536,0.3611111111111111,1.484032070234118,-1.48403207
16,1183,14,2,19.984707571428572,21.126537499999998,0.125,-1.141829929,1.1418299285714255
16,1184,14,2,21.1725745,22.3312865,0.125,-1.158712,1.1587120000000013
57,1185,48,9,20.702250437500002,21.797759555555555,0.15789473684210525,-1.095509118,1.0955091180555527
